time_stamp,Pulsometer_readout,Engine_efficiency,red_Value,blue_Value,green_Value
2018-01-01T08:00:00Z,1,79.66026608240985,0,125,3
2018-01-01T08:00:01Z,2,82.34874836154417,25,124,27
2018-01-01T08:00:02Z,3,79.95445458698316,50,128,54
2018-01-01T08:00:03Z,4,80.77038258710466,75,127,76
2018-01-01T08:00:04Z,5,71.63143517014991,99,127,100
2018-01-01T08:00:05Z,6,79.73809524477296,122,126,121
2018-01-01T08:00:06Z,7,77.01630359821746,143,127,142
2018-01-01T08:00:07Z,8,74.86343357274563,164,127,161
2018-01-01T08:00:08Z,9,79.6223355324888,182,127,179
2018-01-01T08:00:09Z,10,75.22790804083901,199,128,196
2018-01-01T08:00:10Z,11,78.75283330889968,214,128,210
2018-01-01T08:00:11Z,12,80.26914129824374,227,127,221
2018-01-01T08:00:12Z,13,81.73547629297623,237,129,233
2018-01-01T08:00:13Z,14,78.86689327147728,245,128,240
2018-01-01T08:00:14Z,15,82.61594730053778,251,127,244
2018-01-01T08:00:15Z,16,78.11483918009324,254,128,248
2018-01-01T08:00:16Z,17,75.42758226920898,254,125,246
2018-01-01T08:00:17Z,18,86.56091199026461,252,127,246
2018-01-01T08:00:18Z,19,72.666644559856,248,125,239
2018-01-01T08:00:19Z,20,77.07824655674537,241,130,238
2018-01-01T08:00:20Z,21,83.42810142126241,231,126,225
2018-01-01T08:00:21Z,22,75.423140811868,220,130,218
2018-01-01T08:00:22Z,23,74.7404899558028,206,124,199
2018-01-01T08:00:23Z,24,76.42188634056733,190,129,188
2018-01-01T08:00:24Z,25,83.84168971312353,172,125,167
2018-01-01T08:00:25Z,26,78.38881274265226,152,129,152
2018-01-01T08:00:26Z,27,82.09919368681497,131,129,132
2018-01-01T08:00:27Z,28,71.91179919029925,108,129,110
2018-01-01T08:00:28Z,29,83.1338844698066,85,126,86
2018-01-01T08:00:29Z,30,82.77688536769632,61,130,66
2018-01-01T08:00:30Z,31,78.72839483203187,35,130,42
2018-01-01T08:00:31Z,32,82.56026091238414,10,129,17
2018-01-01T08:00:32Z,33,79.78231203059872,14,130,22
2018-01-01T08:00:33Z,34,76.24391003501444,40,126,43
2018-01-01T08:00:34Z,35,81.86195070924784,65,129,69
2018-01-01T08:00:35Z,36,77.4123028753536,89,133,96
2018-01-01T08:00:36Z,37,79.51904640124677,112,129,114
2018-01-01T08:00:37Z,38,79.54798130935161,135,128,135
2018-01-01T08:00:38Z,39,80.7382602240042,156,129,156
2018-01-01T08:00:39Z,40,83.01772134133978,175,130,175
2018-01-01T08:00:40Z,41,75.63550793983616,192,130,191
2018-01-01T08:00:41Z,42,83.76305878273527,208,127,204
2018-01-01T08:00:42Z,43,79.19302625200976,222,125,214
2018-01-01T08:00:43Z,44,80.75112983405684,233,127,228
2018-01-01T08:00:44Z,45,82.36260714167994,242,128,237
2018-01-01T08:00:45Z,46,78.66559289300127,249,127,242
2018-01-01T08:00:46Z,47,81.17247830851784,253,132,251
2018-01-01T08:00:47Z,48,81.41632337693814,254,122,243
2018-01-01T08:00:48Z,49,80.22049096012424,254,133,252
2018-01-01T08:00:49Z,50,75.07498576388835,250,126,243
2018-01-01T08:00:50Z,51,84.69336492568162,244,126,237
2018-01-01T08:00:51Z,52,82.4004978050183,236,126,229
2018-01-01T08:00:52Z,53,77.19834108334342,225,125,217
2018-01-01T08:00:53Z,54,77.14422407664384,212,129,209
2018-01-01T08:00:54Z,55,81.60856636831181,197,128,193
2018-01-01T08:00:55Z,56,79.6349181756894,179,127,177
2018-01-01T08:00:56Z,57,76.7207396711345,160,127,158
2018-01-01T08:00:57Z,58,80.06299302043291,140,125,137
2018-01-01T08:00:58Z,59,82.38563134056493,118,127,117
2018-01-01T08:00:59Z,60,70.87527864634289,95,126,95
2018-01-01T08:01:00Z,61,70.77630826263126,71,128,74
2018-01-01T08:01:01Z,62,84.70171103939948,46,127,49
2018-01-01T08:01:02Z,63,82.14375448581568,21,129,27
2018-01-01T08:01:03Z,64,81.27674183508456,4,130,12
2018-01-01T08:01:04Z,65,79.0682616069558,29,127,34
2018-01-01T08:01:05Z,66,79.28787714221707,54,129,59
2018-01-01T08:01:06Z,67,82.67378669518634,79,127,81
2018-01-01T08:01:07Z,68,61.26205762987513,103,126,102
2018-01-01T08:01:08Z,69,81.2162517479505,125,131,128
2018-01-01T08:01:09Z,70,78.66712190508294,147,124,143
2018-01-01T08:01:10Z,71,81.66907984439007,167,127,165
2018-01-01T08:01:11Z,72,77.85624234762551,185,131,186
2018-01-01T08:01:12Z,73,83.53278644696432,202,126,197
2018-01-01T08:01:13Z,74,82.80163781352434,216,130,215
2018-01-01T08:01:14Z,75,78.17128459549271,229,129,225
2018-01-01T08:01:15Z,76,82.10920662074788,239,128,233
2018-01-01T08:01:16Z,77,81.12965971770076,246,126,239
2018-01-01T08:01:17Z,78,82.41562078010435,251,125,243
2018-01-01T08:01:18Z,79,84.25852529844751,254,126,246
2018-01-01T08:01:19Z,80,83.9858240473876,254,130,250
2018-01-01T08:01:20Z,81,77.20562243305393,252,128,246
2018-01-01T08:01:21Z,82,77.91385219318929,247,128,241
2018-01-01T08:01:22Z,83,88.16772878551505,239,131,237
2018-01-01T08:01:23Z,84,73.86534674413765,230,127,224
2018-01-01T08:01:24Z,85,81.53437839343358,217,127,212
2018-01-01T08:01:25Z,86,78.6575872311741,203,133,204
2018-01-01T08:01:26Z,87,89.03380265166254,187,124,180
2018-01-01T08:01:27Z,88,82.75661356964758,169,129,167
2018-01-01T08:01:28Z,89,77.25161876399356,149,126,146
2018-01-01T08:01:29Z,90,92.28999520866392,127,127,127
2018-01-01T08:01:30Z,91,81.09425371802823,105,129,107
2018-01-01T08:01:31Z,92,84.35529067726128,81,128,83
2018-01-01T08:01:32Z,93,84.85190127837278,56,128,60
2018-01-01T08:01:33Z,94,80.66614929080532,31,130,38
2018-01-01T08:01:34Z,95,72.62538457376586,6,130,14
2018-01-01T08:01:35Z,96,74.12120432671367,19,127,24
2018-01-01T08:01:36Z,97,82.551261035173,44,124,44
2018-01-01T08:01:37Z,98,86.26620631127422,69,128,72
2018-01-01T08:01:38Z,99,77.15035258017042,93,131,98
2018-01-01T08:01:39Z,100,80.19487090642258,116,128,117
2018-01-01T08:01:40Z,101,74.12196491916632,138,126,136
2018-01-01T08:01:41Z,102,82.63167240141084,0,129,7
2018-01-01T08:01:42Z,103,80.06332135773647,25,125,28
2018-01-01T08:01:43Z,104,79.81761664417418,50,127,53
2018-01-01T08:01:44Z,105,82.16045508459852,75,129,79
2018-01-01T08:01:45Z,106,82.16799965756663,99,129,101
2018-01-01T08:01:46Z,107,77.27131776041946,122,126,121
2018-01-01T08:01:47Z,108,76.70011333436192,143,127,142
2018-01-01T08:01:48Z,109,75.53986080927424,164,129,163
2018-01-01T08:01:49Z,110,84.03541447321588,182,129,181
